fft_bin_1,fft_bin_2,fft_bin_3,fft_bin_4,fft_bin_5,fft_bin_6,fft_bin_7,fft_bin_8,fft_bin_9,fft_bin_10,label
1.78,0.67,0.88,0.25,1.0,0.62,0.69,0.23,0.59,0.65,1
1.1,0.39,0.23,0.7,1.0,0.74,1.38,0.99,0.24,0.3,1
1.82,1.56,1.65,0.89,1.15,0.57,1.15,1.11,1.48,1.13,1
3.14,1.75,1.56,0.63,0.86,0.63,0.51,0.58,0.17,0.12,1
0.14,1.17,1.29,0.58,0.77,1.55,0.86,0.25,0.29,0.11,1
2.04,0.76,0.81,0.92,0.69,0.97,1.13,0.79,0.74,1.06,1
1.36,0.36,0.53,0.71,0.8,0.32,0.86,0.66,0.29,0.57,1
1.46,1.64,1.82,1.66,1.99,1.0,0.54,0.73,0.55,0.76,1
0.27,1.35,1.37,0.39,0.69,0.48,0.13,0.83,1.34,1.26,1
4.23,1.83,0.85,0.7,0.67,0.66,0.41,0.21,0.84,0.76,1
3.92,1.2,1.12,1.37,1.55,1.48,0.99,0.52,0.29,0.27,1
3.77,1.26,1.3,1.35,1.57,1.16,0.93,1.18,0.6,0.27,1
2.99,1.45,1.29,0.42,0.49,0.36,0.46,0.66,0.55,0.58,1
3.66,0.51,0.35,0.64,0.84,0.72,0.32,0.59,0.83,0.5,1
2.83,0.49,0.75,0.96,2.03,1.29,0.38,0.62,0.76,1.18,1
3.19,1.37,1.37,0.66,1.4,1.3,1.23,0.31,0.5,0.72,1
3.09,1.35,0.99,1.16,1.75,0.98,0.16,0.21,0.89,1.0,1
3.14,0.21,0.64,0.86,1.82,0.97,0.46,0.46,0.47,0.98,1
3.2,0.91,0.74,0.38,0.12,0.17,0.36,0.4,0.09,0.24,1
3.65,1.65,1.13,1.08,1.34,0.39,0.67,0.94,0.78,1.07,1
3.09,0.97,1.01,1.27,0.78,0.86,1.26,0.75,0.42,0.52,1
3.2,0.69,0.77,1.61,1.66,0.81,1.02,1.12,0.75,0.75,1
3.89,0.88,1.03,0.19,0.24,0.42,0.28,0.81,0.61,0.09,1
5.07,2.28,0.31,1.28,0.99,0.17,0.33,0.51,0.9,0.76,1
4.04,0.19,1.04,1.0,1.56,1.03,0.65,0.09,0.32,0.5,1
4.86,2.52,0.41,1.24,1.82,0.61,0.36,0.46,0.59,0.84,1
4.2,1.62,0.9,1.3,1.28,0.49,0.43,0.2,0.28,0.08,1
3.53,1.05,0.94,0.76,1.62,1.58,0.98,0.54,1.47,1.89,1
4.32,0.98,0.23,1.05,1.27,0.34,0.79,1.03,0.66,0.48,1
3.9,0.56,1.01,0.57,1.3,0.53,0.21,0.48,0.7,0.67,1
5.0,2.2,0.46,1.6,1.42,0.63,0.62,0.14,0.47,0.08,1
5.17,3.58,0.59,0.89,0.88,0.57,0.41,1.07,1.35,0.61,1
5.58,3.65,0.78,0.85,1.23,1.16,0.8,0.25,0.92,0.5,1
4.55,2.47,0.63,0.92,1.77,0.98,0.72,0.54,0.68,0.99,1
4.4,2.07,1.31,0.98,1.12,0.96,0.29,0.49,1.3,0.9,1
4.19,1.77,0.83,0.48,1.42,1.25,1.15,0.81,0.57,0.21,1
4.19,1.73,0.8,0.29,0.94,0.7,0.45,0.36,0.07,0.04,1
3.94,3.38,1.35,1.47,1.65,1.95,0.82,0.18,0.61,0.22,1
4.15,1.1,0.81,0.23,1.1,0.78,0.79,0.94,0.18,0.25,1
5.16,2.88,0.6,0.18,0.49,0.76,0.81,0.6,1.14,0.82,1
5.06,2.07,0.86,1.25,2.03,1.46,1.04,0.54,0.46,0.82,1
4.17,0.46,0.94,1.12,1.91,0.5,0.65,0.98,1.45,0.93,1
4.2,1.36,0.24,1.13,1.96,0.73,0.84,0.21,0.15,0.71,1
4.65,1.43,0.49,0.88,1.16,0.43,0.54,0.08,0.45,0.39,1
4.16,0.4,0.95,0.83,0.87,0.71,0.76,0.65,1.2,0.78,1
4.05,1.55,0.66,0.35,0.89,1.03,1.36,1.08,0.77,0.86,1
4.93,2.39,0.51,0.27,0.9,0.3,0.76,0.54,0.75,1.24,1
4.04,0.98,1.19,1.18,2.08,1.21,1.76,1.46,0.95,0.95,1
5.01,4.78,1.21,0.72,0.83,0.2,0.46,0.23,0.24,0.26,1
4.65,4.93,1.37,0.82,0.55,0.04,0.14,0.41,0.76,0.54,1
3.66,5.57,3.28,1.86,0.99,0.36,0.39,0.17,0.8,0.92,1
2.94,6.02,3.21,1.43,0.74,1.4,0.96,0.11,0.57,0.48,1
1.34,4.63,2.87,0.93,0.66,0.38,0.44,0.34,0.32,0.19,1
2.23,4.89,2.7,2.36,1.9,0.84,0.39,0.39,0.25,0.55,1
3.13,6.7,5.43,3.26,1.86,0.85,0.49,0.48,0.28,0.15,1
0.67,3.17,2.76,1.52,0.57,0.42,0.5,0.17,0.22,0.25,1
4.1,4.59,1.15,1.55,1.8,1.22,0.54,0.72,0.64,1.15,1
3.85,4.51,1.28,0.46,1.29,0.84,0.71,0.68,0.5,0.21,1
3.18,4.21,1.54,1.31,2.04,1.12,0.44,0.1,0.41,1.18,1
0.14,0.05,0.07,0.01,0.03,0.06,0.08,0.04,0.04,0.02,0
0.12,0.04,0.09,0.05,0.04,0.07,0.05,0.04,0.06,0.07,0
0.19,0.05,0.07,0.05,0.08,0.09,0.06,0.02,0.04,0.08,0
0.17,0.06,0.04,0.04,0.04,0.02,0.07,0.08,0.07,0.05,0
0.19,0.06,0.07,0.03,0.03,0.05,0.02,0.02,0.03,0.04,0
0.17,0.04,0.06,0.02,0.04,0.05,0.02,0.01,0.01,0.01,0
0.2,0.04,0.03,0.03,0.01,0.05,0.04,0.02,0.03,0.05,0
